Date,Close
1/2/2015,125.85
1/5/2015,124.3
1/6/2015,122.08
1/7/2015,121.84
1/8/2015,123.66
1/9/2015,122.29
1/12/2015,120.28
1/13/2015,119.98
1/14/2015,118.53
1/15/2015,116.89
1/16/2015,119.32
1/20/2015,122.48
1/21/2015,123.1
1/22/2015,125.66
1/23/2015,127.29
1/26/2015,127.51
1/27/2015,128.07
1/28/2015,126.25
1/29/2015,127.66
1/30/2015,123.94
2/2/2015,125.54
2/3/2015,129.09
2/4/2015,127.77
2/5/2015,129.57
2/6/2015,126.11
2/9/2015,125.59
2/10/2015,128.35
2/11/2015,127.84
2/12/2015,131.94
2/13/2015,129.99
2/17/2015,131.85
2/18/2015,132.61
2/19/2015,130.5
2/20/2015,130.92
2/23/2015,131.56
2/24/2015,132.49
2/25/2015,134.22
2/26/2015,131.01
2/27/2015,130.97
3/2/2015,133.3
3/3/2015,133.9
3/4/2015,131.3
3/5/2015,132
3/6/2015,129.2
3/9/2015,125
3/10/2015,123.91
3/11/2015,126.51
3/12/2015,127.89
3/13/2015,125.71
3/16/2015,127.09
3/17/2015,127.66
3/18/2015,126.28
3/19/2015,122.91
3/20/2015,124.59
3/23/2015,125.43
3/24/2015,122.34
3/25/2015,121.11
3/26/2015,121.41
3/27/2015,122.85
3/30/2015,121.67
3/31/2015,122.52
4/1/2015,123.86
4/2/2015,125.14
4/6/2015,126.27
4/7/2015,126.97
4/8/2015,128.59
4/9/2015,129.7
4/10/2015,131.6
4/13/2015,130.71
4/14/2015,131.57
4/15/2015,132.2
4/16/2015,131.17
4/17/2015,130
4/20/2015,133.53
4/21/2015,136.95
4/22/2015,138.04
4/23/2015,138.97
4/24/2015,137.48
4/27/2015,136.85
4/28/2015,140.24
4/29/2015,142.98
4/30/2015,142.33
5/1/2015,145.35
5/4/2015,152.27
5/5/2015,149.19
5/6/2015,148.51
5/7/2015,145.1
5/8/2015,146.63
5/11/2015,146.18
5/12/2015,145.67
5/13/2015,144.66
5/14/2015,146.79
5/15/2015,146.46
5/18/2015,147.82
5/19/2015,145.58
5/20/2015,147.1
5/21/2015,149.01
5/22/2015,147.48
5/26/2015,145.74
5/27/2015,146.43
5/28/2015,146.5
5/29/2015,145.13
6/1/2015,143.68
6/2/2015,143.01
6/3/2015,143.47
6/4/2015,143.29
6/5/2015,144.94
6/8/2015,142.68
6/9/2015,143.26
6/10/2015,145.45
6/11/2015,141.43
6/12/2015,143.66
6/15/2015,141.97
6/16/2015,143.51
6/17/2015,143.32
6/18/2015,145.46
6/19/2015,147.16
6/22/2015,146.72
6/23/2015,150.99
6/24/2015,149.14
6/25/2015,149.64
6/26/2015,147.73
6/29/2015,141.13
6/30/2015,141.7
7/1/2015,141.46
7/2/2015,138.71
7/6/2015,135.99
7/7/2015,135.29
7/8/2015,129.9
7/9/2015,133.31
7/10/2015,135.63
7/13/2015,135.64
7/14/2015,134.9
7/15/2015,135.6
7/16/2015,136.01
7/17/2015,137.12
7/20/2015,136.79
7/21/2015,134.63
7/22/2015,134.83
7/23/2015,133.12
7/24/2015,131.39
7/27/2015,128.89
7/28/2015,128.64
7/29/2015,134
7/30/2015,130.68
7/31/2015,130.69
8/3/2015,128.4
8/4/2015,129.17
8/5/2015,131.92
8/6/2015,121
8/7/2015,121.14
8/10/2015,123.66
8/11/2015,123.2
8/12/2015,121.27
8/13/2015,120.24
8/14/2015,119.75
8/17/2015,121.12
8/18/2015,117.93
8/19/2015,113.89
8/20/2015,107.88
8/21/2015,106.54
8/24/2015,103.49
8/25/2015,102.16
8/26/2015,104.76
8/27/2015,111.97
8/28/2015,113.19
8/31/2015,110.05
9/1/2015,108.63
9/2/2015,109.94
9/3/2015,112.23
9/4/2015,108.18
9/8/2015,109.55
9/9/2015,108.06
9/10/2015,107
9/11/2015,105.25
9/14/2015,106.1
9/15/2015,108.2
9/16/2015,109.28
9/17/2015,104.91
9/18/2015,99.64
9/21/2015,98.68
9/22/2015,95.5
9/23/2015,92.59
9/24/2015,92.52
9/25/2015,91.9
9/28/2015,90.05
9/29/2015,86.7
9/30/2015,91.06
10/1/2015,90.68
10/2/2015,95.5
10/5/2015,96.71
10/6/2015,94.98
10/7/2015,94.7
10/8/2015,94.35
10/9/2015,94.03
10/12/2015,92.55
10/13/2015,93.39
10/14/2015,90.88
10/15/2015,93.66
10/16/2015,95.72
10/19/2015,96.49
10/20/2015,96.61
10/21/2015,95.34
10/22/2015,97.48
10/23/2015,99.05
10/26/2015,99.6
10/27/2015,97.34
10/28/2015,97.15
10/29/2015,95.24
10/30/2015,98.37
11/2/2015,101.97
11/3/2015,104.23
11/4/2015,107
11/5/2015,116.43
11/6/2015,118.69
11/9/2015,118.11
11/10/2015,119.65
11/11/2015,119.81
11/12/2015,120.53
11/13/2015,118.1
11/16/2015,119.49
11/17/2015,120.25
11/18/2015,121
11/19/2015,120.53
11/20/2015,121.35
11/23/2015,125.36
11/24/2015,124.39
11/25/2015,126.19
11/27/2015,125.14
11/30/2015,123.24
12/1/2015,125.56
12/2/2015,124.52
12/3/2015,120.65
12/4/2015,121.78
12/7/2015,119.8
12/8/2015,119.52
12/9/2015,116.75
12/10/2015,118.22
12/11/2015,114.11
12/14/2015,115.73
12/15/2015,118.44
12/16/2015,116.6
12/17/2015,114.26
12/18/2015,111.56
12/21/2015,112.73
12/22/2015,111.77
12/23/2015,113.77
12/24/2015,114.09
12/28/2015,113.99
12/29/2015,115.12
12/30/2015,114.36
12/31/2015,114.34
1/4/2016,109.95
1/5/2016,109.68
1/6/2016,107.33
1/7/2016,102.93
1/8/2016,101.09
1/11/2016,98.76
1/12/2016,104.85
1/13/2016,100.55
1/14/2016,104.88
1/15/2016,96.4
1/19/2016,96.49
1/20/2016,96.23
1/21/2016,97.5
1/22/2016,101.15
1/25/2016,100.37
1/26/2016,99
1/27/2016,97.23
1/28/2016,96.86
1/29/2016,98.24
2/1/2016,99
2/2/2016,96.12
2/3/2016,95.37
2/4/2016,96.64
2/5/2016,90.25
2/8/2016,85.87
2/9/2016,85.82
2/10/2016,87.71
2/11/2016,89.04
2/12/2016,91.95
2/16/2016,95.76
2/17/2016,98.24
2/18/2016,98.8
2/19/2016,100.48
2/22/2016,99.98
2/23/2016,98.38
2/24/2016,103.1
2/25/2016,102.56
2/26/2016,97.56
2/29/2016,101.76
3/1/2016,104.95
3/2/2016,105.91
3/3/2016,106.53
3/4/2016,108.88
3/7/2016,110.42
3/8/2016,109.01
3/9/2016,111.2
3/10/2016,113.52
3/11/2016,115.65
3/14/2016,114.94
3/15/2016,113.19
3/16/2016,113.71
3/17/2016,114.92
3/18/2016,114.7
3/21/2016,114.67
3/22/2016,115.48
3/23/2016,112.41
3/24/2016,112.89
3/28/2016,115.22
3/29/2016,118.28
3/30/2016,117.68
3/31/2016,117.85
4/1/2016,120.62
4/4/2016,118.61
4/5/2016,117.13
4/6/2016,119.46
4/7/2016,118.1
4/8/2016,117.85
4/11/2016,117.71
4/12/2016,119.97
4/13/2016,125.35
4/14/2016,126.56
4/15/2016,127.34
4/18/2016,130.1
4/19/2016,127.57
4/20/2016,129.44
4/21/2016,126.51
